Name,Image,VFX,VFX Type,DIY,Buy,Sell,Source,Source Notes,Catalog,Window Type,Window Color,Pane Type,Curtain Type,Curtain Color,Ceiling Type,Color 1,Color 2,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Version,Filename,Internal ID
abstract wall,,No,NA,No,3000,390,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,White,Colorful,shop,facility,None,Cloth Walls,1.0.0,RoomTexWallAbstract00,4873
ancient wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Beige,Brown,folk art,horror,None,Asia,1.0.0,RoomTexWallEgypt00,4936
apple wall,,No,NA,Yes,NFS,4000,Crafting,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,Red,Red,fancy,child's room,fruits,Fruit Walls,1.0.0,RoomTexWallApple00,4916
aqua tile wall,,No,NA,No,1420,355,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,Light blue,Light blue,bathroom,facility,None,Tile Walls,1.0.0,RoomTexWallTile01,4930
arched-window wall,,Yes,NA,No,2150,537,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,Brown,Light blue,shop,expensive,None,Special Walls,1.0.0,RoomSpWallGlass00,5482
autumn wall,,Yes,Random,Yes,NFS,4700,Crafting,Fall seasonal DIY using autumn leaves (caught with net),Not for sale,None,NA,NA,None,NA,Wood,Brown,Orange,garden,None,tree's bounty or leaves ,Special Warm Nature Walls,1.0.0,RoomSpWallAutumun00,4905
backyard-fence wall,,Yes,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,Light blue,White,garden,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallBackyard00,5481
bamboo wall,,No,NA,Yes,NFS,2400,Crafting,,Not for sale,None,NA,NA,None,NA,Wood,Green,Beige,zen-style,None,bamboo,Nature Walls,1.0.0,RoomTexWallBamboo00,4833
bamboo-grove wall,,No,NA,Yes,NFS,4300,Crafting,Spring seasonal DIY using bamboo (from bamboo trees),Not for sale,None,NA,NA,None,NA,Wood,Green,Green,zen-style,None,bamboo,Nature Walls,1.0.0,RoomTexWallChikurin00,4853
bamboo-screen wall,,No,NA,No,1770,442,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,Brown,Brown,zen-style,None,None,Wood Walls,1.0.0,RoomTexWallRattan00,4836
bank-vault wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Tile,Gray,Gray,facility,expensive,None,Iron Walls,1.0.0,RoomTexWallSafeBox00,4839
basic wall,,Yes,NA,No,600,150,Nook's Cranny,,For sale,None,NA,NA,None,NA,Tile,White,White,office,facility,None,Special Walls,1.0.0,RoomSpWallSimplePanel00,5559
beaded-curtain wall,,No,NA,No,1720,430,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Curtains,White Lace,Wood,White,Orange,shop,kitchen,None,Cloth Walls,1.0.0,RoomTexWallBeadsCurtain00,4877
beige art-deco wall,,No,NA,No,2780,695,Nook's Cranny,,For sale,Arch,Wood,Glass,None,NA,Wood,Beige,Beige,child's room,living room,None,Art Deco Walls,1.0.0,RoomTexWallArtDeco00,4817
beige blossoming wall,,No,NA,No,1760,440,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Curtains,Red Checkered,Wood,Beige,Brown,fancy,living room,None,Country,1.0.0,RoomTexWallCountry00,4831
beige desert-tile wall,,No,NA,No,2440,610,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Stone,Beige,Beige,bathroom,facility,None,Morocco,1.0.0,RoomTexWallMorocco00,4834
black botanical-tile wall,,No,NA,No,1240,310,Nook's Cranny,,For sale,Single Pane,Black Metal,Glass,Slatted Blinds,Black Plastic,Stone,Black,Black,facility,expensive,None,Wood Tile Walls,1.0.0,RoomTexWallWoodTile03,6877
black hallway wall,,No,NA,No,2000,500,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,Black,Black,facility,music,None,Hall Walls,1.0.0,RoomTexWallHall03,6862
black perforated-board wall,,No,NA,No,1180,295,Nook's Cranny,,For sale,None,NA,NA,None,NA,Tile,Black,Black,music,facility,None,Pegboard Walls,1.0.0,RoomTexWallPegboard02,4922
black two-toned tile wall,,No,NA,No,1850,462,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Stone,Black,Black,bathroom,facility,None,Two-Tone Tile Walls,1.0.0,RoomTexWallTwoToneTile06,6859
black-brick wall,,No,NA,No,1000,250,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,None,NA,Wood,Black,Black,facility,shop,None,Brick,1.0.0,RoomTexWallBrick02,4929
black-crown wall,,No,NA,No,2350,587,Nook's Cranny,,For sale,None,NA,NA,None,NA,Tile,Black,Black,expensive,None,None,Crown Walls,1.0.0,RoomTexWallCrown01,4815
blackboard wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,Black,Colorful,shop,school,None,Neta Walls,1.0.0,RoomTexWallBlackBoard00,4882
blue blossoming wall,,No,NA,No,1760,440,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Curtains,Blue Checkered,Wood,Light blue,Blue,fancy,living room,None,Country,1.0.0,RoomTexWallCountry02,4896
blue camo wall,,No,NA,No,1150,287,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Cloth,Blue,Blue,party,child's room,None,Camouflage,1.0.0,RoomTexWallCamouflage01,4884
blue delicate-blooms wall,,No,NA,No,1900,475,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,Blue,Black,expensive,living room,None,Manor Walls,1.0.0,RoomTexWallManor03,6852
blue desert-tile wall,,No,NA,No,2440,610,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Stone,Blue,White,bathroom,facility,None,Morocco,1.0.0,RoomTexWallMorocco01,4835
blue diner wall,,No,NA,No,2420,605,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,Blue,Light blue,fancy,shop,None,Diner Walls,1.0.0,RoomTexWallDiner00,7241
blue flower-print wall,,No,NA,No,1780,445,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Curtains,Light blue,Wood,Blue,Light blue,fancy,living room,None,Flower Walls,1.0.0,RoomTexWallFlower03,6873
blue heart-pattern wall,,No,NA,No,1280,320,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,Blue,Light blue,fancy,child's room,None,Heart Walls,1.0.0,RoomTexWallHeart00,4874
blue honeycomb-tile wall,,No,NA,No,1680,420,Nook's Cranny,,For sale,Sliding Pane,Black Metal,Glass,None,NA,Stone,Blue,Blue,bathroom,facility,None,Honeycomb,1.0.0,RoomTexWallHoneycomb01,4912
blue intricate wall,,No,NA,No,1570,392,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Wood,Blue,White,living room,shop,None,Flower Pop Walls,1.0.0,RoomTexWallFlowerPop00,4848
blue molded-panel wall,,No,NA,No,1980,495,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,Blue,Brown,expensive,shop,None,Panel Mold Walls,1.0.0,RoomTexWallPanelMold01,4871
blue painted-wood wall,,No,NA,No,1650,412,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,None,NA,Wood,Blue,Light blue,fancy,living room,None,Painted Wood,1.0.0,RoomTexWallPaintWood00,4948
blue playroom wall,,No,NA,No,2540,635,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,Light blue,Blue,child's room,fancy,None,Toy Walls,1.0.0,RoomTexWallToy00,4888
blue quilt wall,,No,NA,No,2150,537,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Cloth,Blue,White,fancy,child's room,None,Dollhouse Walls,1.0.0,RoomTexWallDollhouse01,7277
blue shanty wall,,No,NA,No,620,155,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Stone,Blue,Blue,garage,None,None,Tin Walls,1.0.0,RoomTexWallTin02,4925
blue simple-cloth wall,,No,NA,No,750,187,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White,Wood,Blue,Light blue,child's room,living room,None,Simple Walls,1.0.0,RoomTexWallSimple03,4869
blue subway-tile wall,,No,NA,No,1340,335,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Stone,Blue,Light blue,facility,shop,None,Metro Walls,1.0.0,RoomTexWallMetro00,4940
blue tile wall,,No,NA,No,1420,355,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,Blue,Blue,bathroom,facility,None,Tile Walls,1.0.0,RoomTexWallTile03,7127
blue two-toned tile wall,,No,NA,No,1850,462,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Stone,Blue,Blue,bathroom,facility,None,Two-Tone Tile Walls,1.0.0,RoomTexWallTwoToneTile05,6858
blue-crown wall,,No,NA,No,2350,587,Nook's Cranny,,For sale,None,NA,NA,None,NA,Tile,Blue,Black,expensive,None,None,Crown Walls,1.0.0,RoomTexWallCrown00,4814
blue-paint wall,,No,NA,No,1600,400,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,None,NA,Stone,Blue,Blue,fancy,living room,None,Stucco Walls,1.0.0,RoomTexWallStucco03,4811
blue-rose wall,,No,NA,No,1720,430,Nook's Cranny,,For sale,Arch,Grey Metal,Glass,None,NA,Wood,Blue,Light blue,fancy,living room,None,Rose Walls,1.0.0,RoomTexWallRose03,6869
blue-striped wall,,No,NA,No,1520,380,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,Blue,White,fancy,child's room,None,Stripe Walls,1.0.0,RoomTexWallStripe03,4945
botanical-tile wall,,No,NA,No,1240,310,Nook's Cranny,,For sale,Single Pane,Natural Wood,Glass,Slatted Blinds,Natural Wood,Stone,Beige,Yellow,facility,expensive,None,Wood Tile Walls,1.0.0,RoomTexWallWoodTile02,6876
brown botanical-tile wall,,No,NA,No,1240,310,Nook's Cranny,,For sale,Single Pane,Dark Wood,Glass,Slatted Blinds,Dark Brown Wood,Stone,Brown,Brown,facility,expensive,None,Wood Tile Walls,1.0.0,RoomTexWallWoodTile01,4827
brown diner wall,,No,NA,No,2420,605,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,Brown,Colorful,fancy,shop,None,Diner Walls,1.0.0,RoomTexWallDiner03,7244
brown hallway wall,,No,NA,No,2000,500,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,Brown,Brown,facility,music,None,Hall Walls,1.0.0,RoomTexWallHall00,4806
brown herringbone wall,,No,NA,Yes,NFS,1800,Crafting,,Not for sale,Single Pane,Natural Wood,Glass,Slatted Blinds,Brown Wood,Wood,Brown,Brown,living room,shop,None,Herringbone,1.0.0,RoomTexWallHerringbone00,4804
brown shanty wall,,No,NA,No,620,155,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Stone,Brown,Brown,garage,None,None,Tin Walls,1.0.0,RoomTexWallTin03,4926
brown-brick wall,,No,NA,No,1000,250,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,None,NA,Wood,Brown,Brown,facility,shop,None,Brick,1.0.0,RoomTexWallBrick03,6850
brown-crown wall,,No,NA,No,2350,587,Nook's Cranny,,For sale,None,NA,NA,None,NA,Tile,Brown,Brown,expensive,None,None,Crown Walls,1.0.0,RoomTexWallCrown03,6851
Bunny Day wall,,No,NA,Yes,NFS,4800,Crafting,"Obtained randomly from villager, egg message bottle or egg balloon during Bunny Day event",Not for sale,,,,,,Wood,Yellow,Colorful,fancy,child's room,Bunny Day,Cloth Walls,1.1.0,RoomTexWallEaster00,5231
butterflies wall,,No,NA,No,NFS,840,Bug-Off,,Not for sale,Four Pane,White Wood,Glass,Roller Shades,White,Wood,White,Colorful,fancy,facility,None,Nature Walls,1.0.0,RoomTexWallInsect00,4880
cabin wall,,No,NA,Yes,NFS,1800,Crafting,,Not for sale,Four Pane,Natural Wood,Glass,Curtains,White Lace,Wood,Beige,Beige,living room,facility,None,Wood Walls,1.0.0,RoomTexWallLog00,4840
café-curtain wall,,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,Black,White,shop,expensive,None,Special Walls,1.0.0,RoomSpWallCafe00,5483
camo wall,,No,NA,No,1150,287,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Plain,Black,Green,party,child's room,None,Camouflage,1.0.0,RoomTexWallCamouflage00,4883
chain-link fence,,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,Gray,Gray,garden,garage,None,Special Cool Nature Walls,1.0.0,RoomSpWallEmptyLot00,5485
cherry wall,,No,Random,Yes,NFS,4000,Crafting,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Stone,Pink,Red,child's room,fancy,fruits,Fruit Walls,1.0.0,RoomTexWallCherry00,4919
cherry-blossom-trees wall,,Yes,NA,Yes,NFS,4600,Crafting,Cherry blossom seasonal DIY using cherry-blossom petals (caught with net),Not for sale,None,NA,NA,None,NA,Wood,Brown,Pink,garden,None,cherry blossoms,Special Warm Nature Walls,1.0.0,RoomSpWallSakura00,7205
chic tearoom wall,,No,NA,No,1750,437,Nook's Cranny,,For sale,Circle,Dark Wood,Screen,None,NA,Wood,Black,Black,zen-style,shop,None,Tea Room Walls,1.0.0,RoomTexWallMud03,11176
chic wall,,No,NA,No,1960,490,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Wood,Yellow,Beige,expensive,living room,None,Cloth Walls,1.0.0,RoomTexWallClassic00,4828
chocolate hallway wall,,No,NA,No,2000,500,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,Brown,Brown,facility,music,None,Hall Walls,1.0.0,RoomTexWallHall01,4807
chocolate herringbone wall,,No,NA,Yes,NFS,1800,Crafting,,Not for sale,Single Pane,Dark Wood,Glass,Slatted Blinds,Dark Brown Wood,Stone,Brown,Brown,living room,shop,None,Herringbone,1.0.0,RoomTexWallHerringbone01,4805
circuit-board wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,Green,Green,facility,None,None,Neta Walls,1.0.0,RoomTexWallGeek00,4821
cityscape wall,,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,Black,Black,shop,expensive,None,Special Walls,1.0.0,RoomSpWallNightView00,5400
classic-library wall,,No,NA,Yes,NFS,1450,Crafting,,Not for sale,None,NA,NA,None,NA,Cloth,Black,Black,den,None,None,Library Walls,1.0.0,RoomTexWallLibrary00,4837
colorful puzzle wall,,No,NA,No,1540,385,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,Colorful,Colorful,fancy,child's room,None,Puzzle Walls,1.0.0,RoomTexWallPuzzle01,4887
colorful-tile wall,,No,NA,No,1420,355,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Wood,Colorful,Colorful,bathroom,facility,None,Tile Walls,1.0.0,RoomTexWallTile02,4931
common wall,,No,NA,No,800,200,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Curtains,White,Stone,Beige,Brown,living room,school,None,Stone Walls,1.0.0,RoomTexWallCommon00,4795
concrete wall,,No,NA,No,940,235,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Stone,Gray,Gray,garage,facility,None,Stone Walls,1.0.0,RoomTexWallConcrete00,4890
construction-site wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,Blue,Blue,garage,facility,None,Neta Walls,1.0.0,RoomTexWallBlueSheet00,4843
crepe-design wall,,No,NA,No,1550,387,Nook's Cranny,,For sale,Circle,Grey Wood,Screen,None,NA,Cloth,White,Colorful,zen-style,None,None,Japanese Style,1.0.0,RoomTexWallCrepe00,4841
cute blue wall,,No,NA,No,1880,470,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Cloth,Blue,White,fancy,child's room,None,Cute Walls,1.0.0,RoomTexWallCute02,7217
cute red wall,,No,NA,No,1880,470,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Curtains,White Lace,Cloth,Red,White,fancy,child's room,None,Cute Walls,1.0.0,RoomTexWallCute01,7216
cute white wall,,No,NA,No,1880,470,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Curtains,White Lace,Cloth,White,White,fancy,child's room,None,Cute Walls,1.0.0,RoomTexWallCute00,7215
cute yellow wall,,No,NA,No,1880,470,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Stone,Yellow,White,fancy,child's room,None,Cute Walls,1.0.0,RoomTexWallCute03,7218
dark wooden-mosaic wall,,No,NA,Yes,NFS,1800,Crafting,,Not for sale,Single Pane,Dark Wood,Glass,Slatted Blinds,Dark Brown Wood,Tile,Black,Black,living room,shop,None,Wood Plank Walls,1.0.0,RoomTexWallMixPlankWood01,4860
dark-chocolate wall,,No,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,Brown,Brown,fancy,None,None,Chocolate,1.0.0,RoomTexWallChocolate00,4932
desert vista,,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Beige,Gray,folk art,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallDesert00,5488
dig-site wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,Brown,Beige,garden,horror,None,Stone Walls,1.0.0,RoomTexWallStratum00,5222
dirt-clod wall,,No,NA,No,200,50,Nook's Cranny,,For sale,Four Pane,Natural Wood,Screen,None,NA,Wood,Beige,Brown,horror,None,None,Stone Walls,1.0.0,RoomTexWallOldSoil00,4856
dojo wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Yellow,Beige,fitness,zen-style,None,Wood Walls,1.0.0,RoomTexWallBaseboards00,5227
dungeon wall,,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,Black,Gray,horror,None,None,Special Inorganic Walls,1.0.0,RoomSpWallJail00,5509
exquisite wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Brown,White,zen-style,shop,None,Asia,1.0.0,RoomTexWallChina00,4866
forest wall,,No,Synchro,Yes,NFS,44000,Crafting,Mushroom seasonal DIY,Not for sale,None,NA,NA,None,NA,Stone,Black,Black,garden,None,mush,Nature Walls,1.0.0,RoomTexWallMushForest00,7187
future-tech wall,,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,Black,Black,horror,folk art,None,Special Inorganic Walls,1.0.0,RoomSpWallTechnology00,5494
garbage-heap wall,,No,NA,Yes,NFS,120,Crafting,,Not for sale,None,NA,NA,None,NA,Wood,Light blue,Gray,garage,horror,None,Neta Walls,1.0.0,RoomTexWallGarbage00,5229
gold-screen wall,,No,NA,Yes,NFS,20750,Crafting,,Not for sale,None,NA,NA,None,NA,Gold,Yellow,Yellow,zen-style,expensive,None,Japanese Style,1.0.0,RoomTexWallFusumaGorgeous00,4820
golden wall,,No,NA,Yes,NFS,40000,Crafting,,Not for sale,None,NA,NA,None,NA,Stone,Yellow,Brown,expensive,horror,golden,Asia,1.0.0,RoomTexWallGold00,4894
gray diner wall,,No,NA,No,2420,605,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Cloth,White,Colorful,fancy,shop,None,Diner Walls,1.0.0,RoomTexWallDiner02,7243
gray molded-panel wall,,No,NA,No,1980,495,Nook's Cranny,,For sale,Sliding Pane,Black Metal,Glass,None,NA,Stone,Gray,Gray,expensive,shop,None,Panel Mold Walls,1.0.0,RoomTexWallPanelMold02,4872
gray shanty wall,,No,NA,No,620,155,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Cloth,Gray,Gray,garage,None,None,Tin Walls,1.0.0,RoomTexWallTin00,4923
gray-striped wall,,No,NA,No,1520,380,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Wood,Gray,White,fancy,child's room,None,Stripe Walls,1.0.0,RoomTexWallStripe02,4944
green blossoming wall,,No,NA,No,1760,440,Nook's Cranny,,For sale,Four Pane,Light Wood,Glass,Curtains,Green Checkered,Wood,Green,Brown,fancy,living room,None,Country,1.0.0,RoomTexWallCountry03,4903
green delicate-blooms wall,,No,NA,No,1900,475,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,Green,Black,expensive,living room,None,Manor Walls,1.0.0,RoomTexWallManor02,4898
green flower-print wall,,No,NA,No,1780,445,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,Green,Stone,Green,Beige,fancy,living room,None,Flower Walls,1.0.0,RoomTexWallFlower01,4935
green honeycomb-tile wall,,No,NA,No,1680,420,Nook's Cranny,,For sale,Sliding Pane,Grey Metal,Glass,None,NA,Wood,Green,Green,bathroom,facility,None,Honeycomb,1.0.0,RoomTexWallHoneycomb02,4913
green intricate wall,,No,NA,No,1570,392,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,Green,White,living room,shop,None,Flower Pop Walls,1.0.0,RoomTexWallFlowerPop02,6878
green molded-panel wall,,No,NA,No,1980,495,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Wood,Green,White,fancy,child's room,None,Panel Mold Walls,1.0.0,RoomTexWallPanelMold03,6854
green painted-wood wall,,No,NA,No,1650,412,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,None,NA,Cloth,Green,Green,fancy,child's room,None,Painted Wood,1.0.0,RoomTexWallPaintWood01,4949
green playroom wall,,No,NA,No,2540,635,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Stone,Green,Green,child's room,fancy,None,Toy Walls,1.0.0,RoomTexWallToy02,6866
green-paint wall,,No,NA,No,1600,400,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,None,NA,Cloth,Green,Green,fancy,living room,None,Stucco Walls,1.0.0,RoomTexWallStucco04,4812
groovy wall,,No,NA,No,1280,320,Nook's Cranny,,For sale,Single Pane,Natural Wood,Glass,Slatted Blinds,Brown Wood,Stone,Orange,Orange,party,None,None,Cloth Walls,1.0.0,RoomTexWallPsyche00,4846
harmonious wall,,No,NA,No,1780,445,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,Brown,Brown,zen-style,shop,None,Asia,1.0.0,RoomTexWallOriental00,11180
heavy-curtain wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Red,Black,music,party,None,Cloth Walls,1.0.0,RoomTexWallThickCurtain00,4878
honeycomb wall,,No,NA,Yes,NFS,3600,Crafting,,Not for sale,None,NA,NA,None,NA,Stone,Yellow,Yellow,fancy,facility,None,Tile Walls,1.0.0,RoomTexWallHoney00,4865
honeycomb-tile wall,,No,NA,No,1680,420,Nook's Cranny,,For sale,Sliding Pane,Black Metal,Glass,None,NA,Stone,Brown,Brown,bathroom,facility,None,Honeycomb,1.0.0,RoomTexWallHoneycomb00,4909
ice wall,,Yes,NA,Yes,NFS,8200,Snowman,Reward for making a perfect snow-person,Not for sale,None,NA,NA,None,NA,Plain,Light blue,Light blue,freezing cold,facility,frozen,Special Walls,1.0.0,RoomSpWallIce00,5505
iceberg wall,,No,NA,Yes,NFS,4000,Crafting,Winter seasonal DIY using snowflakes (caught with net),Not for sale,None,NA,NA,None,NA,Stone,Light blue,White,freezing cold,None,None,Neta Walls,1.0.0,RoomTexWallIceFloe00,5662
imperial wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Red,Red,expensive,None,None,Asia,1.0.0,RoomTexWallDynasty00,5224
industrial wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Black,Black,facility,None,None,Iron Walls,1.0.0,RoomTexWallFactory00,4876
ivy wall,,No,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,Brown,Green,facility,shop,None,Nature Walls,1.0.0,RoomTexWallIvy00,4850
Jingle wall,,Yes,NA,Yes,NFS,2500,Crafting,Festive seasonal DIY using ornaments (from shaking trees),Not for sale,None,NA,NA,None,NA,Stone,Green,Colorful,fancy,party,festive,Special Walls,1.0.0,RoomSpWallXmas00,5230
jungle wall,,No,NA,Yes,NFS,1380,Crafting,,Not for sale,None,NA,NA,None,NA,Cloth,Green,Green,garden,facility,None,Nature Walls,1.0.0,RoomTexWallJungle00,5457
kisses wall,,No,Random,No,3000,750,Saharah,,Not for sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Tile,Pink,White,party,fancy,None,Cloth Walls,1.0.0,RoomTexWallKiss00,4881
laboratory wall,,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,Black,Black,facility,None,None,Special Inorganic Walls,1.0.0,RoomSpWallLabo00,5495
lattice wall,,No,Synchro,No,1780,445,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,Brown,Brown,zen-style,shop,None,Asia,1.0.0,RoomTexWallLattice00,4830
magma-cavern wall,,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,Orange,Orange,horror,None,None,Special Warm Nature Walls,1.0.0,RoomSpWallVolcano00,5506
