Name,Image,VFX,VFX Type,DIY,Buy,Sell,Source,Source Notes,Catalog,Window Type,Window Color,Pane Type,Curtain Type,Curtain Color,Ceiling Type,Color 1,Color 2,HHA Concept 1,HHA Concept 2,HHA Series,Tag,Version,Filename,Internal ID
manga-library wall,,No,NA,Yes,NFS,1050,Crafting,,Not for sale,None,NA,NA,None,NA,Plain,White,White,facility,den,None,Library Walls,1.0.0,RoomTexWallLibrary01,4838
mangrove wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,Green,Green,garden,None,None,Nature Walls,1.0.0,RoomTexWallMangrove00,5514
marine pop wall,,No,Synchro,No,NFS,805,Fishing Tourney,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Plain,Light blue,Blue,ocean,child's room,None,Cloth Walls,1.0.0,RoomTexWallFish00,4879
meadow vista,,Yes,Random,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Green,Light blue,garden,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallHighLands00,5484
misty-garden wall,,Yes,NA,No,3000,585,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,Gray,Gray,garden,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallRain00,11915
mod wall,,No,NA,No,1220,305,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Roller Shades,Undyed,Wood,Orange,Orange,party,None,None,Cloth Walls,1.0.0,RoomTexWallMod00,4908
modern shoji-screen wall,,Yes,NA,No,1150,287,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,Brown,White,zen-style,shop,None,Japanese Style,1.0.0,RoomSpWallShojiModem00,4864
modern tearoom wall,,No,NA,No,1750,437,Nook's Cranny,,For sale,Circle,Dark Wood,Screen,None,NA,Stone,Brown,Brown,zen-style,shop,None,Tea Room Walls,1.0.0,RoomTexWallMud02,11178
modern wood wall,,No,NA,Yes,NFS,1800,Crafting,,Not for sale,Single Pane,Natural Wood,Glass,Slatted Blinds,Brown Wood,Wood,Brown,Brown,living room,child's room,None,Wood Walls,1.0.0,RoomTexWallMixwood00,4904
monochromatic dotted wall,,No,NA,No,1100,275,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Curtains,White,Stone,Gray,White,fancy,child's room,None,Dot,1.0.0,RoomTexWallDot00,4892
monochromatic-tile wall,,No,NA,No,1420,355,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,Gray,White,bathroom,facility,None,Tile Walls,1.0.0,RoomTexWallTile00,4910
mortar wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Gray,Gray,zen-style,None,None,Stone Walls,1.0.0,RoomTexWallPlaster00,5215
mosaic-tile wall,,No,NA,No,1450,362,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Stone,Black,White,bathroom,facility,None,Tile Walls,1.0.0,RoomTexWallMosaicTile00,4862
mossy-garden wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,Green,Green,zen-style,None,None,Nature Walls,1.0.0,RoomTexWallMoss00,5458
mush wall,,No,NA,Yes,NFS,21400,Crafting,Mushroom seasonal DIY,Not for sale,Four Pane,White Wood,Glass,Roller Shades,Undyed,Wood,Orange,Brown,fancy,None,mush,Cloth Walls,1.0.0,RoomTexWallMush00,5164
Nook Inc. wall,,No,NA,No,NFS,6000,Nook Miles Shop,,Not for sale,Four Pane,Dark Wood,Glass,Curtains,White,Plain,White,Light blue,fancy,shop,None,Cloth Walls,1.0.0,RoomTexWallFirst00,6004
ocean-horizon wall,,Yes,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Tile,Blue,Light blue,ocean,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallHorizon00,5486
office wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,White,Light blue,office,None,None,Special Walls,1.0.0,RoomTexWallOffice00,5218
old wallpaper,,No,NA,No,200,50,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,None,NA,Stone,Beige,Beige,horror,None,None,Cloth Walls,1.0.0,RoomTexWallOld00,4857
olive desert-tile wall,,No,NA,No,2440,610,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,Yellow,Yellow,bathroom,facility,None,Morocco,1.0.0,RoomTexWallMorocco03,6863
orange camo wall,,No,NA,No,1150,287,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Cloth,Orange,Orange,party,child's room,None,Camouflage,1.0.0,RoomTexWallCamouflage03,6855
orange molded-panel wall,,No,NA,No,1980,495,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,Orange,Beige,fancy,child's room,None,Panel Mold Walls,1.0.0,RoomTexWallPanelMold00,4870
orange wall,,No,NA,Yes,NFS,4000,Crafting,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Stone,Orange,Orange,fancy,child's room,fruits,Fruit Walls,1.0.0,RoomTexWallOrange00,4915
orange-paint wall,,No,NA,No,1600,400,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,None,NA,Stone,Orange,Orange,fancy,child's room,None,Stucco Walls,1.0.0,RoomTexWallStucco01,4809
paintball wall,,No,NA,No,3000,750,Saharah,,Not for sale,Single Pane,Grey Metal,Glass,Slatted Blinds,Aluminium,Stone,White,Colorful,garage,facility,None,Stone Walls,1.0.0,RoomTexWallAtelier00,4854
palace wall,,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,Beige,White,expensive,folk art,None,Special Inorganic Walls,1.0.0,RoomSpWallPalace00,5502
party wall,,No,NA,No,NFS,370,Birthday,,Not for sale,Four Pane,Dark Wood,Glass,Roller Shades,White,Wood,Colorful,White,party,fancy,None,Cloth Walls,1.0.0,RoomTexWallParty00,5226
pastel dotted wall,,No,NA,No,1100,275,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Curtains,White,Cloth,White,Colorful,fancy,child's room,None,Dot,1.0.0,RoomTexWallDot01,4899
pastel puzzle wall,,No,NA,No,1540,385,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,White,White,fancy,child's room,None,Puzzle Walls,1.0.0,RoomTexWallPuzzle00,4886
peach two-toned tile wall,,No,NA,No,1850,462,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,Pink,Pink,bathroom,facility,None,Two-Tone Tile Walls,1.0.0,RoomTexWallTwoToneTile04,6857
peach wall,,No,NA,Yes,NFS,4000,Crafting,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,Pink,Pink,fancy,child's room,fruits,Fruit Walls,1.0.0,RoomTexWallPeach00,4918
pear wall,,No,NA,Yes,NFS,4000,Crafting,,Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Tile,Green,Green,fancy,child's room,fruits,Fruit Walls,1.0.0,RoomTexWallPear00,4917
perforated-board wall,,No,NA,No,1180,295,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,Brown,Brown,music,facility,None,Pegboard Walls,1.0.0,RoomTexWallPegboard01,4921
pink blossoming wall,,No,NA,No,1760,440,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Curtains,Red Checkered,Stone,Pink,Brown,fancy,living room,None,Country,1.0.0,RoomTexWallCountry01,4895
pink diner wall,,No,NA,No,2420,605,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Wood,Pink,Colorful,fancy,shop,None,Diner Walls,1.0.0,RoomTexWallDiner01,7242
pink flower-print wall,,No,NA,No,1780,445,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Curtains,Pink,Cloth,Pink,Pink,fancy,living room,None,Flower Walls,1.0.0,RoomTexWallFlower00,4893
pink heart-pattern wall,,No,NA,No,1280,320,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Wood,Pink,Pink,fancy,child's room,None,Heart Walls,1.0.0,RoomTexWallHeart01,4875
pink painted-wood wall,,No,NA,No,1650,412,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,None,NA,Cloth,Pink,Pink,fancy,child's room,None,Painted Wood,1.0.0,RoomTexWallPaintWood02,4802
pink playroom wall,,No,NA,No,2540,635,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,Pink,Pink,child's room,fancy,None,Toy Walls,1.0.0,RoomTexWallToy01,4889
pink quilt wall,,No,NA,No,2150,537,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Stone,Pink,White,fancy,child's room,None,Dollhouse Walls,1.0.0,RoomTexWallDollhouse00,7274
pink shanty wall,,No,NA,No,620,155,Nook's Cranny,,For sale,Single Pane,Grey Wood,Glass,Slatted Blinds,White Plastic,Wood,Pink,Pink,garage,None,None,Tin Walls,1.0.0,RoomTexWallTin01,4924
pink simple-cloth wall,,No,NA,No,750,187,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White,Tile,Pink,Pink,child's room,living room,None,Simple Walls,1.0.0,RoomTexWallSimple02,4868
pink-crown wall,,No,NA,No,2350,587,Nook's Cranny,,For sale,None,NA,NA,None,NA,Cloth,Pink,White,fancy,expensive,None,Crown Walls,1.0.0,RoomTexWallCrown02,4816
pink-striped wall,,No,NA,No,1520,380,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,Pink,White,fancy,child's room,None,Stripe Walls,1.0.0,RoomTexWallStripe01,4943
purple camo wall,,No,NA,No,1150,287,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone,Purple,Purple,party,child's room,None,Camouflage,1.0.0,RoomTexWallCamouflage02,4885
purple desert-tile wall,,No,NA,No,2440,610,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Wood,Purple,Purple,bathroom,facility,None,Morocco,1.0.0,RoomTexWallMorocco02,6864
purple dotted wall,,No,NA,No,1100,275,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,Curtains,White,Cloth,Purple,White,fancy,child's room,None,Dot,1.0.0,RoomTexWallDot04,4902
purple puzzle wall,,No,NA,No,1540,385,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Cloth,Purple,Colorful,None,None,None,Puzzle Walls,1.0.0,RoomTexWallPuzzle03,6875
purple quilt wall,,No,NA,No,2150,537,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Wood,Purple,White,fancy,child's room,None,Dollhouse Walls,1.0.0,RoomTexWallDollhouse03,7275
purple-rose wall,,No,NA,No,1720,430,Nook's Cranny,,For sale,Arch,Grey Metal,Glass,None,NA,Stone,Purple,Purple,fancy,None,None,Rose Walls,1.0.0,RoomTexWallRose01,4907
rammed-earth wall,,No,NA,No,1800,450,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,Brown,Beige,folk art,None,None,Stone Walls,1.0.0,RoomTexWallHanchiku00,4845
ramshackle wall,,No,NA,No,3000,750,Saharah,,Not for sale,Four Pane,Dark Wood,Glass,None,NA,Wood,Brown,Beige,horror,None,None,Stone Walls,1.0.0,RoomTexWallRuins00,5225
red art-deco wall,,No,NA,No,2780,695,Nook's Cranny,,For sale,Arch,Grey Metal,Glass,None,NA,Wood,Red,Black,child's room,living room,None,Art Deco Walls,1.0.0,RoomTexWallArtDeco01,4818
red delicate-blooms wall,,No,NA,No,1900,475,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,Red,Brown,expensive,living room,None,Manor Walls,1.0.0,RoomTexWallManor01,4897
red dotted wall,,No,NA,No,1100,275,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White,Cloth,Red,Red,fancy,child's room,None,Dot,1.0.0,RoomTexWallDot02,4900
red heart-pattern wall,,No,NA,No,1280,320,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Wood,Red,Red,fancy,child's room,None,Heart Walls,1.0.0,RoomTexWallHeart03,6870
red intricate wall,,No,NA,No,1570,392,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Tile,Red,White,living room,shop,None,Flower Pop Walls,1.0.0,RoomTexWallFlowerPop03,6879
red perforated-board wall,,No,NA,No,1180,295,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,Red,Red,music,facility,None,Pegboard Walls,1.0.0,RoomTexWallPegboard03,6853
red two-toned tile wall,,No,NA,No,1850,462,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Wood,Red,Red,bathroom,facility,None,Two-Tone Tile Walls,1.0.0,RoomTexWallTwoToneTile03,6856
red-brick wall,,No,NA,No,1000,250,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,None,NA,Wood,Red,Brown,facility,shop,None,Brick,1.0.0,RoomTexWallBrick01,4928
retro flower-print wall,,No,NA,No,1660,415,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Plain,Green,Green,fancy,living room,None,Cloth Walls,1.0.0,RoomTexWallKitsch00,4847
rice-paddy wall,,Yes,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,Light blue,Green,garden,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallFarm00,5487
ringside seating,,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Black,Black,fitness,None,None,Special Walls,1.0.0,RoomSpWallWrestling00,5512
rock-climbing wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,White,Colorful,fitness,None,None,Neta Walls,1.0.0,RoomTexWallBouldering00,4851
rose wall,,No,NA,No,1720,430,Nook's Cranny,,For sale,Arch,Wood,Glass,None,NA,Stone,Red,White,fancy,None,None,Rose Walls,1.0.0,RoomTexWallRose00,4906
ruins wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Black,Gray,horror,folk art,None,Nature Walls,1.0.0,RoomTexWallRemains00,5228
rustic-stone wall,,No,NA,Yes,NFS,1750,Crafting,,Not for sale,Four Pane,Dark Wood,Glass,None,NA,Wood,Gray,Gray,facility,shop,None,Stone Walls,1.0.0,RoomTexWallStone00,4813
sakura-wood wall,,No,NA,Yes,NFS,3200,Crafting,Cherry blossom seasonal DIY using cherry-blossom petals (caught with net),Not for sale,Four Pane,Grey Wood,Glass,Curtains,Pink,Tile,Pink,Pink,child's room,fancy,cherry blossoms,Wood Walls,1.0.0,RoomTexWallSolidWood00,4947
sci-fi wall,,Yes,Random,Yes,NFS,7500,Crafting,,Not for sale,None,NA,NA,None,NA,Wood,Black,Black,space,facility,None,Special Inorganic Walls,1.0.0,RoomSpWallSF00,5510
screen wall,,No,NA,No,3000,750,Nook's Cranny,,For sale,None,NA,NA,None,NA,Plain,White,White,zen-style,facility,None,Japanese Style,1.0.0,RoomTexWallFusuma00,4819
sea view,,Yes,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Tile,Light blue,Blue,ocean,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallSeaView00,5501
security-monitors wall,,Yes,Random,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,Black,Gray,facility,None,None,Special Inorganic Walls,1.0.0,RoomSpWallMonitor00,5491
sepia puzzle wall,,No,NA,No,1540,385,Nook's Cranny,,For sale,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Tile,Beige,Colorful,fancy,child's room,None,Puzzle Walls,1.0.0,RoomTexWallPuzzle02,6874
server-room wall,,Yes,Random,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,Black,Black,facility,None,None,Special Inorganic Walls,1.0.0,RoomSpWallServer00,5490
shoji screen,,Yes,NA,No,1880,470,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,Beige,White,zen-style,None,None,Japanese Style,1.0.0,RoomSpWallShoji00,4863
shutter wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,White,Gray,facility,shop,None,Iron Walls,1.0.0,RoomTexWallShutter00,4825
ski-slope wall,,Yes,Synchro,Yes,NFS,3200,Crafting,Winter seasonal DIY using snowflakes (caught with net),Not for sale,None,NA,NA,None,NA,Cloth,White,White,freezing cold,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallGelande00,5498
skull wall,,Yes,LightOff,No,3000,750,Nook's Cranny,,For sale,Single Pane,Black Metal,Glass,Slatted Blinds,Black Plastic,Plain,Black,Black,horror,child's room,None,Special Inorganic Walls,1.0.0,RoomSpWallSkull00,5520
sky wall,,Yes,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Light blue,White,fancy,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallCloud00,5504
skyscraper wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Cloth,Black,Gray,expensive,None,None,Neta Walls,1.0.0,RoomTexWallSkyscraper00,4852
snowflake wall,,No,NA,Yes,NFS,4800,Crafting,Winter seasonal DIY using snowflakes (caught with net),Not for sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Wood,Light blue,Light blue,freezing cold,None,None,Cloth Walls,1.0.0,RoomTexWallSnowCrystal00,4855
soothing tearoom wall,,No,NA,No,1750,437,Nook's Cranny,,For sale,Circle,Natural Wood,Screen,None,NA,Wood,White,Beige,zen-style,shop,None,Tea Room Walls,1.0.0,RoomTexWallMud01,11177
stacked-wood wall,,No,NA,Yes,NFS,1800,Crafting,,Not for sale,None,NA,NA,None,NA,Plain,Brown,Brown,garage,facility,None,Wood Walls,1.0.0,RoomTexWallFireWood00,4844
stadium wall,,Yes,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,Colorful,Colorful,fitness,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallStadium00,5503
standard tearoom wall,,No,NA,No,1750,437,Nook's Cranny,,For sale,Circle,Natural Wood,Screen,None,NA,Cloth,Green,Green,zen-style,None,None,Tea Room Walls,1.0.0,RoomTexWallMud00,5521
starry wall,,Yes,LightOff,Yes,NFS,7500,Crafting,,Not for sale,Four Pane,White Wood,Glass,Roller Shades,White,Plain,Gray,White,fancy,child's room,None,Special Cool Nature Walls,1.0.0,RoomSpWallStarPrint00,5528
starry-sky wall,,Yes,NA,Yes,NFS,7500,Crafting,,Not for sale,None,NA,NA,None,NA,Stone,Blue,Blue,space,None,stars,Special Cool Nature Walls,1.0.0,RoomSpWallStarSky00,5500
stately wall,,No,NA,No,2450,612,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,White,White,expensive,None,None,Asia,1.0.0,RoomTexWallRenaissance00,4861
steel-frame wall,,No,NA,Yes,NFS,6000,Crafting,,Not for sale,None,NA,NA,None,NA,Stone,Red,Gray,garage,facility,None,Iron Walls,1.0.0,RoomTexWallSteel00,4801
stone wall,,No,NA,Yes,NFS,1500,Crafting,,Not for sale,None,NA,NA,None,NA,Plain,Black,Gray,horror,facility,None,Stone Walls,1.0.0,RoomTexWallBasement00,5216
stormy-night wall,,Yes,Random,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Black,Gray,horror,None,None,Special Warm Nature Walls,1.0.0,RoomSpWallThunder00,5499
straw wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Tile,Beige,Beige,folk art,None,None,Wood Walls,1.0.0,RoomTexWallStraw00,5217
strawberry-chocolate wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Pink,Pink,fancy,None,None,Chocolate,1.0.0,RoomTexWallChocolate02,4934
street-art wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,Colorful,Colorful,garage,None,None,Neta Walls,1.0.0,RoomTexWallStreetArt00,5221
summit wall,,Yes,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Black,White,garden,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallMountainTop00,5513
tree-lined wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Plain,Green,Light blue,garden,None,None,Nature Walls,1.0.0,RoomTexWallRoadsideTree00,5456
tropical vista,,Yes,Synchro,Yes,NFS,6000,Crafting,Summer seasonal DIY using summer shells (found on beach),Not for sale,None,NA,NA,None,NA,Plain,Light blue,Beige,ocean,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallTropical00,5661
underwater wall,,Yes,Synchro,Yes,NFS,8600,Crafting,Summer seasonal DIY using summer shells (found on beach),Not for sale,None,NA,NA,None,NA,Stone,Blue,Light blue,ocean,None,None,Special Cool Nature Walls,1.0.0,RoomSpWallFishTank00,5508
wavy-tile wall,,No,NA,No,1740,435,Nook's Cranny,,For sale,None,NA,NA,None,NA,Plain,Gray,White,shop,facility,None,Tile Walls,1.0.0,RoomTexWallWaveTile00,4832
western vista,,Yes,Synchro,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Stone,Brown,Beige,folk art,horror,None,Special Cool Nature Walls,1.0.0,RoomSpWallWilderness00,5489
white botanical-tile wall,,No,NA,No,1240,310,Nook's Cranny,,For sale,Single Pane,White Wood,Glass,Slatted Blinds,White Plastic,Wood,White,White,facility,expensive,None,Wood Tile Walls,1.0.0,RoomTexWallWoodTile00,4826
white delicate-blooms wall,,No,NA,No,1900,475,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Roller Shades,Undyed,Wood,White,White,expensive,living room,None,Manor Walls,1.0.0,RoomTexWallManor00,4891
white hallway wall,,No,NA,No,2000,500,Nook's Cranny,,For sale,None,NA,NA,None,NA,Stone,White,White,facility,music,None,Hall Walls,1.0.0,RoomTexWallHall02,6861
white honeycomb-tile wall,,No,NA,No,1680,420,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Wood,White,White,bathroom,facility,None,Honeycomb,1.0.0,RoomTexWallHoneycomb03,4914
white painted-wood wall,,No,NA,No,1650,412,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,None,NA,Tile,White,White,living room,child's room,None,Painted Wood,1.0.0,RoomTexWallPaintWood03,4803
white perforated-board wall,,No,NA,No,1180,295,Nook's Cranny,,For sale,None,NA,NA,None,NA,Wood,White,White,music,facility,None,Pegboard Walls,1.0.0,RoomTexWallPegboard00,4920
white simple-cloth wall,,No,NA,No,750,187,Nook's Cranny,,For sale,Four Pane,Light Wood,Glass,Curtains,White,Stone,White,White,child's room,living room,None,Simple Walls,1.0.0,RoomTexWallSimple00,4939
white subway-tile wall,,No,NA,No,1340,335,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Wood,White,White,facility,shop,None,Metro Walls,1.0.0,RoomTexWallMetro01,4941
white-brick wall,,No,NA,No,1000,250,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,None,NA,Tile,White,White,facility,shop,None,Brick,1.0.0,RoomTexWallBrick00,4927
white-chocolate wall,,No,NA,No,3000,750,Saharah,,Not for sale,None,NA,NA,None,NA,Wood,White,Beige,fancy,None,None,Chocolate,1.0.0,RoomTexWallChocolate01,4933
white-rose wall,,No,NA,No,1720,430,Nook's Cranny,,For sale,Arch,Grey Metal,Glass,None,NA,Stone,Pink,White,fancy,None,None,Rose Walls,1.0.0,RoomTexWallRose02,6868
wild-wood wall,,No,NA,Yes,NFS,1800,Crafting,,Not for sale,Single Pane,Dark Wood,Glass,Slatted Blinds,Dark Brown Wood,Wood,Black,Black,living room,shop,None,Wood Walls,1.0.0,RoomTexWallWildWood00,4858
wooden-knot wall,,No,NA,Yes,NFS,1800,Crafting,,Not for sale,Four Pane,Natural Wood,Glass,Roller Shades,Undyed,Stone,Brown,Brown,living room,child's room,None,Wood Walls,1.0.0,RoomTexWallCedar00,4911
wooden-mosaic wall,,No,NA,Yes,NFS,1800,Crafting,,Not for sale,Single Pane,Natural Wood,Glass,Slatted Blinds,Brown Wood,Stone,Brown,Brown,living room,shop,None,Wood Plank Walls,1.0.0,RoomTexWallMixPlankWood00,4859
woodland wall,,No,NA,Yes,NFS,1380,Crafting,,Not for sale,None,NA,NA,None,NA,Wood,Green,Green,horror,facility,None,Nature Walls,1.0.0,RoomTexWallJukai00,5223
yellow flower-print wall,,No,NA,No,1780,445,Nook's Cranny,,For sale,Four Pane,Dark Wood,Glass,Curtains,Yellow,Cloth,Yellow,Yellow,fancy,living room,None,Flower Walls,1.0.0,RoomTexWallFlower02,6872
yellow heart-pattern wall,,No,NA,No,1280,320,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Wood,Yellow,Yellow,fancy,child's room,None,Heart Walls,1.0.0,RoomTexWallHeart02,6871
yellow intricate wall,,No,NA,No,1570,392,Nook's Cranny,,For sale,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth,Yellow,White,living room,shop,None,Flower Pop Walls,1.0.0,RoomTexWallFlowerPop01,4849
yellow playroom wall,,No,NA,No,2540,635,Nook's Cranny,,For sale,Sliding Pane,White Metal,Glass,None,NA,Cloth,Yellow,Yellow,child's room,fancy,None,Toy Walls,1.0.0,RoomTexWallToy03,6865
yellow quilt wall,,No,NA,No,2150,537,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White Lace,Wood,Yellow,White,fancy,child's room,None,Dollhouse Walls,1.0.0,RoomTexWallDollhouse02,7276
yellow simple-cloth wall,,No,NA,No,750,187,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Curtains,White,Stone,Beige,Yellow,child's room,living room,None,Simple Walls,1.0.0,RoomTexWallSimple01,4867
yellow-paint wall,,No,NA,No,1600,400,Nook's Cranny,,For sale,Four Pane,Natural Wood,Glass,None,NA,Cloth,Yellow,Yellow,fancy,child's room,None,Stucco Walls,1.0.0,RoomTexWallStucco00,4808
yellow-striped wall,,No,NA,No,1520,380,Nook's Cranny,,For sale,Four Pane,White Wood,Glass,Roller Shades,White,Cloth,Yellow,Beige,fancy,child's room,None,Stripe Walls,1.0.0,RoomTexWallStripe04,4946